ШОТЛАНДИЯ: Первая лига 1,10,Странрар - Монтроз ,0:1,http://m.myscore.ru/match/UipPgYRR/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АНГЛИЯ: Национальная лига Юг 1,12,Weston-super-Mare - Биллерике ,0:1,http://m.myscore.ru/match/Wl8rFGOb/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АНГЛИЯ: Вторая лига 1,17,Колчестер Юнайтед - Ноттс Каунти ,1:1,http://m.myscore.ru/match/bPmOjHvl/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
АНГЛИЯ: NPL Premier Division 1,19,Бакстон - Уитби ,1:0,http://m.myscore.ru/match/G8E69lDe/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АНГЛИЯ: NPL Premier Division 1,21,Бэсфорд - Хайд ,0:2,http://m.myscore.ru/match/YqP1AUck/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
СЕВЕРНАЯ ИРЛАНДИЯ: Кубок Северной Ирландии 1,22,Ларн - Ньюри Сити ,0:0,http://m.myscore.ru/match/Iott7yZ6/?s=2,10,Тотал игры узнавайте у саппорта. Код NDA 1
СЕВЕРНАЯ ИРЛАНДИЯ: Кубок Северной Ирландии 1,22,Лофголл - Крамлин Стар ,0:1,http://m.myscore.ru/match/OrXVTbtK/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
АНГЛИЯ: Southern League South Division 1,24,Харроу - Met. Police ,1:1,http://m.myscore.ru/match/xvFGbavF/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
АНГЛИЯ: Национальная лига Север 1,30,Бракли - Эштон Юнайтед ,1:0,http://m.myscore.ru/match/fB34ZfJl/?s=2,10,Тотал больше 2.5 [alg A]
АНГЛИЯ: Национальная лига 1,34,Бромли - Файлд ,2:1,http://m.myscore.ru/match/Mgcaicnr/?s=2,10,"Тотал больше 4  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АНГЛИЯ: Вторая лига 1,43,Crawley - Челтенхэм ,1:0,http://m.myscore.ru/match/AaiSkyff/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АВСТРАЛИЯ: Лига А 1,34,Мельбурн Сити - Ньюкасл Джетс,0:1,http://m.myscore.ru/match/2iaiG8S7/?s=2,10,"Тотал больше 3  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
ИСПАНИЯ: Сегунда 1,45,Альмерия - Мальорка ,1:0,http://m.myscore.ru/match/roLIj9Cp/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
КЕНИЯ: Премьер-Лига 1,45,Матхаре Юнайтед - Гор Махиа ,0:1,http://m.myscore.ru/match/lKiFof9E/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
ФРАНЦИЯ: Кубок Франции 1,39,Реймс - Ланс ,2:0,http://m.myscore.ru/match/Mef3R0bf/?s=2,10,"Тотал больше 3  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АЗИЯ: Кубок Азии 1,27,Таиланд - Индия ,0:1,http://m.myscore.ru/match/Iwz5Gvib/?s=2,10,Тотал больше 2  [alg C1]
АНГЛИЯ: Кубок ФА 1,21,Шеффилд Юнайтед - Барнет ,0:1,http://m.myscore.ru/match/SCLR6HR1/?s=2,10,Тотал больше 2  [alg C1]
АНГЛИЯ: Кубок ФА 1,24,КПР - Лидс ,1:0,http://m.myscore.ru/match/lMMN7cCe/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
ИСПАНИЯ: Примера 1,10,Реал Мадрид - Реал Сосьедад ,0:1,http://m.myscore.ru/match/jVtM2wM7/?s=2,10,Тотал больше 2  [alg C1]
КЕНИЯ: Премьер-Лига 1,22,Матхаре Юнайтед - Какамега Хоумбойз ,1:1,http://m.myscore.ru/match/0WAIt5Nn/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
АНГЛИЯ: Премьер-лига 1,14,Вулверхэмптон - Лестер ,2:0,http://m.myscore.ru/match/WjuIN5Fs/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
НИДЕРЛАНДЫ: Третий дивизион 1,26,Stedoco - ОДИН '59 ,0:1,http://m.myscore.ru/match/6apSgjWs/?s=2,10,Тотал игры узнавайте у саппорта. Код NDA 1
ФРАНЦИЯ: Вторая лига 1,36,Ланс - Нанси ,0:1,http://m.myscore.ru/match/AZo6YKt2/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
САН-МАРИНО: Чемпионат - Второй этап 1,32,Доманьяно - Либертас ,1:0,http://m.myscore.ru/match/tUv2LQ1B/?s=2,10,Тотал игры узнавайте у саппорта. Код NDA 1
ИТАЛИЯ: Серия А 1,36,Рома - Торино ,2:0,http://m.myscore.ru/match/xCr0oC8g/?s=2,10,Тотал больше 3.5 [alg C2]
УЭЛЬС: Первый дивизион 1,44,Порт Талбот - Бритон Ферри ,2:1,http://m.myscore.ru/match/pjNT2gZk/?s=2,10,"Тотал больше 4  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АНГЛИЯ: Национальная лига 1,16,Борхэм Вуд - Хавант энд В ,0:1,http://m.myscore.ru/match/Gjis2E00/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
АНГЛИЯ: Национальная лига Север 1,19,Дарлингтон - Спеннимур ,1:0,http://m.myscore.ru/match/fBuboDZc/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АНГЛИЯ: Isthmian League Premier Division 1,19,Bishop's Stortford - Тонбридж ,0:1,http://m.myscore.ru/match/lE0ERExH/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
АНГЛИЯ: Первая лига 1,21,Гиллингем - Уоллсол ,0:2,http://m.myscore.ru/match/MNQosHKc/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
АНГЛИЯ: Национальная лига Юг 1,21,Труро - Weston-super-Mare ,0:1,http://m.myscore.ru/match/MDH4wi7G/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
АНГЛИЯ: Southern League South Division 1,24,Хендон - Тивертон ,1:0,http://m.myscore.ru/match/UTe557ia/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
АНГЛИЯ: Вторая лига 1,29,Морекамб - Стивенейдж ,0:1,http://m.myscore.ru/match/z3jE1gA3/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
АНГЛИЯ: Премьер-лига 1,31,Манчестер Юнайтед - Брайтон ,1:0,http://m.myscore.ru/match/YFasU7xE/?s=2,10,Тотал больше 2.5 [alg A]
ШОТЛАНДИЯ: Вторая лига 1,31,Стерлинг - К. Парк ,1:1,http://m.myscore.ru/match/ALOieFwD/?s=2,10,Тотал больше 3  [alg C1]
АНГЛИЯ: Национальная лига Север 1,40,Boston Utd - Лимингтон ,1:1,http://m.myscore.ru/match/Am7uTVJT/?s=2,10,Тотал больше 3.5 [alg C2]
ШОТЛАНДИЯ: Вторая лига 1,43,Эдинбург Сити - Аннан ,1:0,http://m.myscore.ru/match/x8Qqcy90/?s=2,10,Тотал больше 2.5 [alg A]
АНГЛИЯ: Национальная лига 1,45,Мэйденхед - Солихалл ,1:1,http://m.myscore.ru/match/YRN7IZps/?s=2,10,Тотал больше 3  [alg C1]
ИТАЛИЯ: Серия А 1,12,Удинезе - Парма ,0:1,http://m.myscore.ru/match/pE7PiEVP/?s=2,10,"Тотал больше 2  [alg C1]
[ПОНИЖЕННАЯ ПРОХОДИМОСТЬ]"
