ГРЕЦИЯ: Вторая лига 1,38,Аполлон Понту - Эрготелис ,1:0,http://m.myscore.ru/match/2F3LBz6d/?s=2,10,"Тотал больше 2  [alg C3]
 Ставить при коэффициенте не менее 1.5"
НИГЕРИЯ: НПФЛ 1,20,Гомбе - Насарава ,1:0,http://m.myscore.ru/match/lE0Bb8HE/?s=2,11,"Тотал больше 3  [alg C1]
 Ставить при коэффициенте не менее 1.5"
